cars,type,garage,datetime
0,egress,Locust Street Garage,2018-08-11 20:00:00
0,egress,Locust Street Garage,2018-08-11 21:00:00
0,egress,Locust Street Garage,2018-08-11 22:00:00
0,egress,Locust Street Garage,2018-08-11 23:00:00
0,egress,Locust Street Garage,2018-08-12 00:00:00
0,egress,Locust Street Garage,2018-08-12 01:00:00
0,egress,Locust Street Garage,2018-08-12 02:00:00
0,egress,Locust Street Garage,2018-08-12 03:00:00
0,egress,Locust Street Garage,2018-08-12 04:00:00
0,egress,Locust Street Garage,2018-08-12 05:00:00
0,egress,Locust Street Garage,2018-08-12 06:00:00
0,egress,Locust Street Garage,2018-08-12 07:00:00
0,egress,Locust Street Garage,2018-08-12 08:00:00
0,egress,Locust Street Garage,2018-08-12 09:00:00
